,0
0,58.23479139979041
1,51.715052221885614
2,53.775545353807445
3,57.91042512458112
4,61.27027540111391
5,57.135803636497606
6,58.29524911718807
7,60.521014076933895
8,61.48939397468455
9,70.67165077863832
10,68.60497539664577
11,66.18448982725093
12,71.65885803656695
13,72.6955759831658
14,75.60652507450519
15,77.15275376218702
16,72.79181665565417
17,71.44444643038459
18,81.87519444476887
19,78.44678133725347
20,74.7979824874789
21,78.35084530700523
22,76.9670184953274
23,79.80787178061233
24,83.48302577792145
25,84.94940474761209
26,89.74565403000464
27,88.51958988309018
28,86.6950235419421
29,89.93449985863543
30,91.08433106496194
31,95.08238123086454
32,97.34942405548188
33,98.39468514765267
34,99.47692753532229
35,96.90983607393656
36,95.06291073633989
37,102.73149404004239
38,103.88602346582111
39,98.63735155835657
40,108.20275761108454
41,103.17712215812975
42,107.23637639603277
43,110.25079653787888
44,112.26386894685582
45,108.47202343073033
46,110.0826513059922
47,108.58871607997581
48,118.69177859630915
49,118.6694314050684
50,60.06423470020464
51,63.23043963925582
52,61.54647361334347
53,62.69385586027649
54,60.14371606100575
55,59.50010656271586
56,65.28504281231675
57,69.09639313953265
58,62.62532629761978
59,72.14916950825793
60,69.28769085432975
61,71.2025593387716
62,66.83758980789834
63,73.87774662141507
64,78.15210585898816
65,72.80444100771997
66,76.74757770043664
67,80.59249761887764
68,81.17973446043962
69,82.258790465289
70,81.70449443036141
71,78.1380599748514
72,87.84062372749823
73,81.54199057845084
74,86.01614659905857
75,87.89321315810966
76,92.00124891143632
77,93.62811497340319
78,89.07105099073614
79,94.40440699045189
80,93.78521243342156
81,91.36707411938774
82,95.9624747862732
83,94.12315191368825
84,98.26650143177967
85,96.19789467304358
86,98.79130295942292
87,105.14762541708238
88,102.31055438444005
89,109.0810016705137
90,109.84037825586853
91,108.71411602280484
92,109.85426029078586
93,110.16463536983667
94,115.73125337275975
95,110.43319279965495
96,110.64710477688189
97,116.70258336760712
98,118.2853036849091
99,120.14025522011052
100,63.37669853862808
101,57.57502843950436
102,57.59424070002619
103,66.97990919272115
104,62.718038792237685
105,62.90918483130922
106,64.73783026974216
107,65.77799749984895
108,65.59845088828075
109,74.68672876592484
110,72.69744993504274
111,68.11361551046716
112,73.16089920896488
113,70.95352395825134
114,73.5501824558361
115,80.59412226772251
116,76.25337687936944
117,84.16215230933985
118,84.53075754096874
119,77.56157958346002
120,82.40437101337834
121,85.37057933940997
122,90.4284682241825
123,89.1736437276419
124,89.40395146979314
125,92.27712828714016
126,88.37439289244708
127,90.67956132314146
128,91.5089283341591
129,96.95721537961259
130,97.19801604203559
131,93.96667384069036
132,95.4856207738984
133,96.37165407684668
134,102.38373467962207
135,104.79143377940694
136,102.60988246591887
137,107.77747631948067
138,104.24635664866487
139,110.72759077017513
140,111.53808794432557
141,104.49289921275295
142,106.32956788101977
